eng,darija
bite,3dd
devote,krrs
resemble,tchabh
wed,tjowej
surprise,faj2
sit down,ryy7
cheat,ghch
peel,qcher
sea,bhar
pollution,talwwout
sunrise,chorouq
sun,chemch
mars,mari5
mountain,jbal
thunder,ra3da
cold,berd
wind,rih
heat,sehd
winter,chatwa
autumn,5rif
climate,ljw
earthquake,zelzal
foggy,mdebbab
hot,s5on
sunny,mchemmach
windy,m3aj3aj
wood,khchab
iron,7adid
stone,hjar
gold,dhab
leather,jild
nylon,nilo
sand,ramla
star,najma
wave,mowja
edge,hafa
lake,bo7aira
desert,sa7ra
waterfall,challal
ash,ramaad
car,tomobila
alley,darb
proud,fa5our
yesterday,lbareh
tomorrow,ghada
heat,sahd
elections,inti5abat
parliament,barlamane
best friend,aachir
you know,frassek
of,diyal
war,7erb
prison,7ebs
prisoner,hebbas
gun,fardi
gun bullets,qartass
fork,forchita
window,charjam
wake up,fiaq
stop,wo9of
shower,thamhima
bedroom,bit n3as
source,manbaa
republic,jomhorya
independent,mostaqill
army,3esker
well,mziane
committee,lejna
rights,hoqouq
right,7e9
power,9oaw
plate,tebsil
dishes,mma3en
air conditioner,laklim
accent,lahja
balloon,naffa5a
death,maout
party,hafla
bite,3edda
bucket,stel
bottle,9er3a
box,sndou9
first name,smyya
last name,knyya
television,talfaza
depth,3omq
change,teghyir
step,5twa
story,qissa
saw,manchar
interest,masla7a
wall,7et
job,kahdma
symbol,remz
case,hala
type,now3
law,qanon
value,qima
sense,ma3na
soldier,3eskri
search,taqlab
enemy,3do
smoke,d55an
steam,bo5ar
dream,7alma
camp,mokhayyam
floor,taj
ceiling,sa9f
balcony,balcon
carpet,zarbia
broom,chattaba
pillow,mkhedda
mirror,maraya
comb,mechta
fridge,tallaja
oven,ferran
hammer,mtir9a
nail,mesmar
sewer,sarb
mess,rouina
trash,zbal
wheel,rouida
people,nass
young,chaab
wedding,3ars
fiancee,5atiba
divorce,tlaq
tribe,9abila
identity,howya
statement,tesri7
choice,ikhtiar
traitor,5aa2in
panic,5l3a
credibility,misdaaqia
benefit,mzya
utility,nfa3
quantity,kimmya
trap,fa55
coordination,tnsy9
arrest,i3ti9al
confession,3tiraaf
trial,mohakama
witness,chahid
theft,chafra
robbery,ser9a
rape,ghtissab
bribery,rachwa
fraud,i7tial
sentence,hokm
hanging,chan9
chain,selsla
government,hokouma
politics,siassa
illegal immigrant,7arrag
delegation,wafd
association,jam3ia
half,nass
corruption,fasaad
equality,mosaawat
principle,mebde2
insult,me3your
repression,9am3
discrimination,temyiz
torture,ta3dib
massacre,majzara
massacre,madba7a
harassment,noggan
conflict,siraa3
resistance,moqawama
occupation,7tilaal
sword,sayf
bomb,9anbola
explosion,tfargi3a
grave,9bar
loss,5asaara
surrender,stislaam
business,khadma
hand,id
centre,merkz
act,fi3l
east,shr9
paper,kaght
may,chher khemsa
project,mechrou3
game,le3ba
bill,mchro3 9anoun
product,mantoj
look,mdhr
deal,sef9a
commission,ja3ba
campaign,7mla
disease,mrd
mouth,fm
influence,te2tir
stone,7ejra
effort,mejhoud
attack,hojoum
plant,nebta
corner,9ont
skin,jald
scene,mashhad
battle,me3raka
bridge,9antra
bridge,guantra
background,khelfia
seat,ma93ad
threat,thdid
notice,tnbih
file,milf
castle,9el3a
emphasis,tashdid
touch,lemsa
branch,3arsh
definition,te3rif
breath,nafs
creation,khel9
row,sef
silver,n9ra
explanation,tefsir
run,jeria
drink,machrob
factory,me3mel
hole,7efra
session,jalsa
interpretation,trjama
proposal,2i9tira7
square,morebba3
revenue,madkhoul
shock,sedma
nose,mnkhar
formation,tkwin
ref,mrji3
household,menzili
cat,msh
editor,ra2is te7rir
loan,9erd
clause,shrt
meat,l7am
situation,maqam
ladder,sellom
news,akhbaar
newspaper,journan
report,te9rir
gathering,tajammo3
drawer,mjarr
signal,siniyal
card,carta
comment,te3li9
internet,antirnit
audio,odyo
facebook,faysbouk
wireless,bla salk
wire,salk
button,botona
remote control,telecommande
headphones,lizikotor
appointment,maou3id
alarm,rrevey
addicted,moudmine
stupid,mkellekh
stupid,mjallaj
broken,mharras
bald,sle3
ugly,5ayb
crazy,msetti
full,3amer
late,m3attal
complex,m3e99ed
wide,wase3
separate,mefro9
glad,fer7an
afraid,khayef
cheerful,zahi
regretful,naadem
depressed,mekta2eb
miserable,maskin
comfortable,marta7
busy,mechghoul
worried,mechton
nervous,m3assab
embarrassed,mrag
shy,7achman
lonely,wahid
amazed,mnbahr
astonished,mstaghreb
confused,mrawwen
hesitant,mtraddad
tired,msekhsekh
greedy,temma3
kind,drayef
polite,m2eddeb
lazy,ma3gaz
hardworking,moujtahid
humble,mtwada3
ignorant,jahil
liar,kaddab
betrayer,ghaddar
swindler,nassab
naive,nya
optimistic,motafa2il
pessimistic,motacha2im
orphan,itym
disgusting,kay3iyyef
deaf,smak
paralyzed,mchellal
handicapped,mo3aa9
sterile,3agar
biased,ma7az
political,siyasi
personal,chakhsi
wrong,khaat2
legal,9anoni
military,7erbi
dark,mdallem
western,gharbi
official,resmi
religious,diini
eastern,char9i
odd,fchkal
massive,haa2il
radical,jadri
flat,msatte7
brilliant,mt2alla9
electronic,elektroni
widespread,mntacher
anxious,mhmom
extraordinary,fo9 l3aada
round,mdowwar
illegal,ghayr 9aanoni
tight,mzeyyer
exact,bddabt
unhappy,m9ll9
concrete,mlmos
systematic,manhaji
objective,mowdo3i
artistic,fanni
legitimate,cher3i
mid,wast
representative,temtiili
enthusiastic,met7ammes
philosophical,felsafi
solar,chemsi
divine,ilahi
invisible,mabayanch
regulatory,tendiimi
awake,faya9
teenage,morahi9
delightful,kayfarra7
gradual,tedriiji
medium,motawssit
instrumental,mosaahim
terminal,niha2i
passionate,mt7emmes
tense,mtwttr
talented,mowhob
understandable,mfhom
deadly,kay9tal
destructive,kayfrchkh
scorner,mserhat
closed,msdod
open,me7loul
justified,mberrar
engaged,mertabet
sparse,mchattet
mighty,3adiim
beardy,boul7ia
miraculous,5ari9
exceptional,stitnaa2i
spanish,sbalioni
arab,3erbi
hidden,mkhabbi
sure,mtya99an
worry,qalaq
annoyance,tbarzit
acceptance,qoboul
desire,reghba
ecstasy,nachwa
fear,khaouf
greed,tam3
hatred,korh
lust,chehwa
love,houb
jealousy,ghayra
shyness,7achma
shock,sedma
sadness,7ouzn
fear,khal3a
obsession,waswas
grief,fe9sa
four,rab3a
five,khamsa
six,setta
seven,seb3a
eight,tmania
nine,tas3oud
ten,aachra
thirteen,tlettach
fourteen,rbe3tach
fifteen,khamstach
sixteen,stach
seventeen,sba3tach
eighteen,tmantach
nineteen,tse3tach
twenty,3echrin
twenty one,wahdo3chrin
twenty two,tnayno3chrin
twenty three,tlatao3chrin
twenty four,rb3ao3chrin
twenty five,khmsao3chrin
twenty six,sttao3chrin
twenty seven,sb3ao3chrin
twenty eight,tmnyao3chrin
twenty nine,ts3oudo3chrin
forty,reb3in
fifty,khamsin
sixty,sattin
seventy,sab3in
ninety,tas3in
ninety one,wahdots3in
ninety two,tnaynots3in
ninety three,tlataots3in
ninety four,rb3aots3in
ninety five,khmsaots3in
ninety six,sttaots3in
ninety seven,sb3aots3in
ninety eight,tmnyaots3in
ninety nine,ts3oudots3in
hundred,mia
million,mlyoun
billion,melyar
and,o
first,lowel
fourth,rraba3
clothes,7wayaj
ring,khatem
pants,sarwal
socks,tqacher
coat,kebbot
hat,terbouch
jacket,jakit
button,sedfa
earring,twanag
bracelet,gourmet
wallet,bestam
umbrella,mdell
skullcap,tagyya
blgha,cherbil
qaftan,9aftan
takchita,takchita
cape,slham
vegetables,5odra
onion,besla
cabbage,mkowwar
cucumber,5iar
artichokes,qoq
cardoon,kharchof
pepper,falfla
beans,loubya
fennel,basbas
lettuce,5oss
turnip,laft
coriander,9ezbor
parsley,m3ednous
celery,krafas
fruits,ddisser
pear,bouaouid
avocado,lavoka
grape,3enb
fig,kermous
pomegranate,reman
watermelon,dlah
cherry,hab lamlouk
melon,souihla
apricot,machmach
plums,br9ou9
jujube,nbeg
mint,ne3na3
butter,zebda
bread,5obz
chewing gum,meska
salt,mal7a
chickpeas,7mmes
cheese,formaj
pasta,cha3ria
spices,3trya
wheat,guem7
cinnamon,9erfa
cumin,kammoun
cloves,9ronfal
saffron,z3afran
thyme,za3ter
milk,hlib
thirst,3tach
appetite,chahia
grilled,machwi
fried,ma9li
roasted,m7emmer
crunchy,mgarmel
raw,khdar
dry,nachaf
sour,7amad
vinegar,5ell
tanjia,tnjyya
bastila,bastila
mhancha,m7anncha
kaab ghzal,ke3b lghzal
sellou,sello
chebbakia,chbakia
razzat el cadi,rezzat l9adi
money,ll3aqa
seller,beya3
dirham,derham
union,itihad
reserve,ihtiat
stability,stiqrar
consumption,istihlak
tourist,ra2ih
insurance,lasourans
storage,tekhzine
planning,tekhtit
salary,chahria
funding,tmouil
resignation,sti9aala
income,mad5oul
wealth,ttarwa
amount,mblegh
liquidity,souyoula
inheritance,lwrt
import,stawrd
export,sadar
deposit,tsbi9
bodybuilding,la7did
team,far9a
coach,modarib
swimming,3oumane
league,botoula
rugby,regbi
chess,chatranj
color,laoun
green,khdar
blue,zre9
black,k7el
brown,qahwi
pink,ouardi
yellow,sfer
beige,baaj
gold,dehbi
army green,khassi
dark,maghlouq
light,maftouh
minute,da9i9a
tomorrow,ghadda
the day before yesterday,wllbare7
the day after tomorrow,be3d ghdda
month,chher
wednesday,larbe3
thursday,lakhmis
friday,jem3a
saturday,sabt
sunday,l7add
weekend,weekend
january,chhr wa7d
february,chhr jouj
march,chhr tlata
april,chhr rb3a
may,chhr khmsa
june,chhr stta
july,chhr sb3a
august,chhr tmnia
september,chhr ts3oud
october,chhr 3chra
november,chhr 7dach
december,chhr tnach
present,7adr
future,mostaqbal
five past,oqsem
ten past,oqsmayn
quarter past,orba3
half past,onss
thirty five past,o sbaa qsam
night,lile
period,fetra
occasion,monaasaba
half an hour,ness sa3a
twenty minutes,tolout sa3a
after,ba3d
before,qbel
behind,wra
down,te7t
during,fw9t
following,tabaa
regarding,b nnisba
toward,fttijah
because,7itach
allergy,7assasia
cancer,lmard lkhayb
wound,jer7a
vomit,t9ia
stitch,gherza
anesthetic,lbnj
health,sa77a
pain,7ri9
sneeze,3atsa
cough,ke7ba
cell,5alia
rheumatism,roumatizm
fever,sskhana
inflammation,ltihab
obesity,lghld
acne,7ebb chchbab
fractured,mharres
fracture,tehrissa
palm tree,na5la
trees,chjar
seed,zerri3a
grass,lgazo
lion,sba3
hyena,dba3
snail,berbouch
sheep,khrof
sheep,7ouli
goat,maaza
calf,aajel
pig,hellouf
monkey,9erd
fox,te3leb
parrot,babbagha2
bat,5offach
snake,hench
bull,tor
lizard,boubriss
beak,manqar
always,daiman
soon,qariban
upstairs,lfoug
almost,taqriban
sometimes,ba3d lmarrat
quickly,daghya
quickly,bzerba
after,mnbe3d
literally,7arfian
together,mejmo3in
again,3awd tani
actually,fel 7a9i9a
easily,bsohoula
eventually,fllekher
currently,7aliyan
constantly,bi stimrar
ahead,l9eddam
immediately,felblasa
relatively,nisbiyan
fairly,bel3adl
completely,bel kamil
seriously,belm39ol
carefully,bchwya
equally,gddgdd
necessarily,bddaroura
personally,chakhsyyan
basically,fel2asas
effectively,fi3liyan
initially,felbdia
mainly,3ll 3omom
successfully,bi naja7
exam,mti7ane
school,medrassa
faculty,lkollia
geometry,hndasa
paper,warqa
question,sa2al
topic,mowdou3
scissors,m9as
specialization,ta5assos
analysis,tahlil
divided,ma9soum
institute,m3hed
pilgrimage,l7ej
hell,jahannam
afterlife,akhra
ablution,lwodo2
good,5air
resurrection,l9yama
noon prayer,dohar
afternoon prayer,3asar
sunset prayer,mghrab
prayer rug,zarbia tssla
nose,men5ar
lung,rya
heart,qalb
ear,wdan
forehead,jbha
elbow,merfeg
back,dhar
to burp,tgarre3
to yawn,tfawweh
tattoo,ouchm
him,hoa
her,hia
them,homa
everything,koullchi
this,had
someone,chi7edd
his,dyalou
her,dyalha
their,dyalhoum
his,dyawlou
her,dyawlha
their,dyawlhoum
theater,mesre7
expression,taabir
comedy,komidia
historical,taari5i
sound,sot
egypt,masr
oujda,wjda
tetouan,titouan
mohammedia,mohmmedia
beni mellal,bani mellal
dar bouazza,dar bo3za
khemisset,lkhmisat
inezgane,inezgan
ksar el kabir,9ser el kabir
guelmim,glimim
bouskoura,bouskora
fqih ben saleh,f9ih ben salh
oued zem,oued zem
kalaa sraghna,kalaa tsraghna
guercif,guarsif
oulad teima,oulad taima
ben guerir,ben guerir
essaouira,essawira
fnideq,lfnid9
youssoufia,lyousoufia
benslimane,ben sliman
al houceima,l7oucima
beni ansar,bni ansar
mdiq,mdyeq
sidi bennour,sidi benor
station,mahtta
coffee shop,9ahwa
sidewalk,trotouar
barber,hajjam
barber,hallaq
peasant,fllah
photographer,moswer
tailor,khayyat
shoemaker,5erraz
enter,d5el
go out,5rj
explain,chrh
teach,qerra
smell,chem
exhaust,ts5s5
work,5dem
put,hatt
tell,5ber
lose,5ser
imagine,t5ayyal
kill,qtel
drive,saag
escape,hrab
welcome,rahhab
rely,3wwel
define,3arraf
demonstrate,barhen
vote,sawwet
hide,5ebba
justify,barrer
judge,hkem
withdraw,nsa7eb
catch,qbat
stop,hbes
used to,wallaf
smile,btassam
dig,hfer
threaten,hadded
store,khzan
dream,hlem
affect,attar
arrange,rattab
translate,trjam
use,stakhdem
hug,3anna9
get used,t3awwed
cooperate,t3awan
boycott,9at3
volunteer,ttowwe3
avoid,tjanneb
form,kwwen
reduce,n99s
require,ttelleb
face,twajeh
end,kammal
control,t7akkem
contribute,saahem
deserve,stahal
head,tr22es
calculate,hsb
interfere,tdekhkhel
adapt,t2e9lm
tie,3gued
extract,stakhraj
grasp,stou3b
confront,wajh
coincide,tzaamen
resemble,tchabeh
wed,tzowej
surprise,faaje2
experiment,jerrab
cheat,ghach
peel,qchcher
cold,lbard
wind,rri7
heat,sahd
earthquake,zalzal
foggy,mdebbeb
hot,s5oun
sunny,mchammach
sand,rremla
wave,mwja
stupid,mkallekh
stupid,mjallej
broken,mherras
full,3amr
late,m3tal
complex,m3a99ed
wide,wasa3
separate,mafro9
famous,machhour
glad,farhan
afraid,5ayef
cheerful,zaahi
proud,fa5or
depressed,mekta2ab
miserable,miskin
busy,machghoul
worried,machtoun
nervous,m3asseb
amazed,menbahar
astonished,mestaghreb
tired,mot3ab
kind,dryef
polite,m2addeb
orphan,ytym
disgusting,kay3yyaf
paralyzed,mchallel
biased,mn7aaz
outside,5arj
flat,msatta7
enthusiastic,met7ammas
regulatory,tndiimi
talented,mowhoub
understandable,mfhom
open,me7lol
engaged,mertabt
sparse,mchettet
beardy,bol7ia
miraculous,kahriq
exceptional,istitnaa2i
arab,3arabi
sure,mtya99en
fear,5aouf
greed,tma3
hatred,korh
lust,chahwa
love,7oub
shyness,hachma
sadness,houzn
fear,5al3a
grief,faqsa
five,khemsa
six,satta
nine,tes3oud
thirteen,tletach
fifteen,khemstach
twenty,3ochrin
twenty one,wahdw3chrin
twenty two,tnaynw3chrin
twenty three,tlataw3chrin
twenty four,rb3aw3chrin
twenty five,khmsaw3chrin
twenty six,sttaw3chrin
twenty seven,sb3aw3chrin
twenty eight,tmnyaw3chrin
twenty nine,ts3oudw3chrin
fifty,khemsin
sixty,sttin
ninety one,wahdwts3in
ninety two,tnaynwts3in
ninety three,tlatawts3in
ninety four,rb3awts3in
ninety five,khmsawts3in
ninety six,sttawts3in
ninety seven,sb3awts3in
ninety eight,tmnyawts3in
ninety nine,ts3oudwts3in
million,malyoun
first,lowwel
clothes,hwayej
hat,tarboch
earring,7ala9ate
necklace,slsla
wallet,beztam
umbrella,mdalla
skullcap,taguyya
cape,selham
cucumber,5yar
artichokes,qouq
cardoon,khrchof
lettuce,5os
coriander,9zbor
parsley,me3dnous
fruits,disser
watermelon,delah
cherry,heb lemlouk
plums,ber9ou9
jujube,nnbeg
mint,na3na3
sugar,sokar
salt,malha
chickpeas,hammes
spices,3etria
wheat,9m7
cinnamon,qarfa
cumin,kemmon
thyme,z3tar
crunchy,mgarmal
raw,5dr
burned,m7ro9
tanjia,tanjyya
kaab ghzal,ka3b ghzal
seller,bya3
dirham,dirham
union,ittihad
job,5adma
consumption,istihlak
tourist,sai7
planning,ta5tit
salary,chehria
funding,temwil
income,med5ol
amount,mablagh
import,stwrd
team,farqa
win,rbah
rugby,regby
chess,chetranj
color,lwn
green,khder
blue,zraq
gold,dahbi
dark,meglou9
light,maftou7
yesterday,lbarh
today,lyoma
month,chhar
century,qarn
thursday,lekhmis
friday,jjm3a
saturday,ssebt
weekend,lweekend
january,chher wa7d
february,chher joj
april,chher reb3a
june,chher setta
july,chher seb3a
august,chher tmenia
september,chher ts3eud
october,chher 3echra
future,mostqbal
half past,onass
thirty five past,o sba3 9sam
half an hour,nessa3a
twenty minutes,toloutsa3a
before,9bal
inside,da5l
regarding,b nisba
toward,ftijah
because,7intach
cancer,mard lkhayb
wound,jar7a
anesthetic,lbenj
cell,5alyya
rheumatism,rroumatizm
tonsils,l7la9em
acne,7bbchbab
enter,d5l
go out,5raj
understand,fhm
explain,chreh
exhaust,tsekhsekh
work,5dam
talk,hder
define,3arref
dig,hfar
reduce,n99as
contribute,sahem
interfere,tde55el
grasp,stow3b
resemble,tchabeh
wed,tzwwj
peel,9chchar
enter,d5al
go out,5rej
understand,fham
explain,chrah
do,dir
define,3arrf
belong,ntami
interfere,td55l
